questionNumber,prompt,expectedNumAnswers,language,explanation
1,What is the supreme law of the land?,1,en,
2,What does the Constitution do?,1,en,
3,The idea of self-government is in the first three words of the Constitution. What are these words?,1,en,
4,What is an amendment?,1,en,
5,What do we call the first ten amendments to the Constitution?,1,en,
6,What is one right or freedom from the First Amendment?,1,en,
7,How many amendments does the Constitution have?,1,en,
8,What did the Declaration of Independence do?,1,en,
9,What are two rights in the Declaration of Independence?,1,en,
10,What is freedom of religion?,1,en,
11,What is the economic system in the United States?,1,en,
12,What is the “rule of law”?,1,en,
13,Name one branch or part of the government.,1,en,
14,What stops one branch of government from becoming too powerful?,1,en,
15,Who is in charge of the executive branch?,1,en,
16,Who makes federal laws?,1,en,
17,What are the two parts of the U.S. Congress?,1,en,
18,How many U.S. Senators are there?,1,en,
19,We elect a U.S. Senator for how many years?,1,en,
20,Who is one of your state’s U.S. Senators now?,1,en,
21,The House of Representatives has how many voting members?,1,en,
22,We elect a U.S. Representative for how many years?,1,en,
23,Name your U.S. Representative.,1,en,
24,Who does a U.S. Senator represent?,1,en,
25,Why do some states have more Representatives than other states?,1,en,
26,We elect a President for how many years?,1,en,
27,In what month do we vote for President?,1,en,
28,What is the name of the President of the United States now?,1,en,
29,What is the name of the Vice President of the United States now?,1,en,
30,"If the President can no longer serve, who becomes President?",1,en,
31,"If both the President and the Vice President can no longer serve, who becomes President?",1,en,
32,Who is the Commander in Chief of the military?,1,en,
33,Who signs bills to become laws?,1,en,
34,Who vetoes bills?,1,en,
35,What does the President’s Cabinet do?,1,en,
36,What are two Cabinet-level positions?,1,en,
37,What does the judicial branch do?,1,en,
38,What is the highest court in the United States?,1,en,
39,How many justices are on the Supreme Court?,1,en,
40,Who is the Chief Justice of the United States now?,1,en,
41,"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?",1,en,
42,"Under our Constitution, some powers belong to the states. What is one power of the states?",1,en,
43,Who is the Governor of your state now?,1,en,
44,What is the capital of your state?,1,en,
45,What are the two major political parties in the United States?,1,en,
46,What is the political party of the President now?,1,en,
47,What is the name of the Speaker of the House of Representatives now?,1,en,
48,There are four amendments to the Constitution about who can vote. Describe one of them.,1,en,
49,What is one responsibility that is only for United States citizens?,1,en,
50,Name one right only for United States citizens.,1,en,
51,What are two rights of everyone living in the United States?,1,en,
52,What do we show loyalty to when we say the Pledge of Allegiance?,1,en,
53,What is one promise you make when you become a United States citizen?,1,en,
54,How old do citizens have to be to vote for President?,1,en,
55,What are two ways that Americans can participate in their democracy?,1,en,
56,When is the last day you can send in federal income tax forms?,1,en,
57,When must all men register for the Selective Service?,1,en,
58,What is one reason colonists came to America?,1,en,
59,Who lived in America before the Europeans arrived?,1,en,
60,What group of people was taken to America and sold as slaves?,1,en,
61,Why did the colonists fight the British?,1,en,
62,Who wrote the Declaration of Independence?,1,en,
63,When was the Declaration of Independence adopted?,1,en,
64,There were 13 original states. Name three.,1,en,
65,What happened at the Constitutional Convention?,1,en,
66,When was the Constitution written?,1,en,
67,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,1,en,
68,What is one thing Benjamin Franklin is famous for?,1,en,
69,Who is the “Father of Our Country”?,1,en,
70,Who was the first President?,1,en,
71,What territory did the United States buy from France in 1803?,1,en,
72,Name one war fought by the United States in the 1800s.,1,en,
73,Name the U.S. war between the North and the South.,1,en,
74,Name one problem that led to the Civil War.,1,en,
75,What was one important thing that Abraham Lincoln did?,1,en,
76,What did the Emancipation Proclamation do?,1,en,
77,What did Susan B. Anthony do?,1,en,
78,Name one war fought by the United States in the 1900s.,1,en,
79,Who was President during World War I?,1,en,
80,Who was President during the Great Depression and World War II?,1,en,
81,Who did the United States fight in World War II?,1,en,
82,"Before he was President, Eisenhower was a general. What war was he in?""",,
83,"During the Cold War, what was the main concern of the United States?""",,
84,What movement tried to end racial discrimination?,1,en,
85,"What did Martin Luther King, Jr. do?",1,en,
86,"What major event happened on September 11,2001, in the United States?",
87,Name one American Indian tribe in the United States.,1,en,USCIS Officers will be supplied with a list of federally recognized American Indian tribes.
88,Name one of the two longest rivers in the United States.,1,en,
89,What ocean is on the West Coast of the United States?,1,en,
90,What ocean is on the East Coast of the United States?,1,en,
91,Name one U.S. territory.,1,en,
92,Name one state that borders Canada.,1,en,
93,Name one state that borders Mexico.,1,en,
94,What is the capital of the United States?,1,en,
95,Where is the Statue of Liberty?,1,en,
96,Why does the flag have 13 stripes?,1,en,
97,Why does the flag have 50 stars?,1,en,
98,What is the name of the national anthem?,1,en,
99,When do we celebrate Independence Day?,1,en,
100,Name two national U.S. holidays.,1,en,
